month,rank,title,author,primary_isbn10,dagger,publisher,weeks_on_list
2011-02,1,TICK TOCK,James Patterson and Michael Ledwidge,0316037915,0,"Little, Brown",1
2011-03,1,ALONE,Lisa Gardner,0553901133,0,Random House,2
2011-04,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,8
2011-05,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,12
2011-06,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,17
2011-07,1,THE HELP,Kathryn Stockett,0425232204,0,Penguin Group,18
2011-08,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,23
2011-09,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,27
2011-10,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,31
2011-11,1,THE BEST OF ME,Nicholas Sparks,0446547654,0,Grand Central Publishing,2
2011-12,1,KILL ALEX CROSS,James Patterson,None,0,"Little, Brown & Company",1
2012-01,1,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,0307272117,0,Knopf Doubleday Publishing,19
2012-02,1,EXTREMELY LOUD AND INCREDIBLY CLOSE,Jonathan Safran Foer,0547416210,0,Houghton Mifflin Harcourt Publishing,3
2012-03,1,FIFTY SHADES OF GREY,E L James,,0,The Writer’s Coffee Shop,1
2012-04,1,FIFTY SHADES OF GREY,E L James,None,0,Knopf Doubleday Publishing,3
2012-05,1,FIFTY SHADES OF GREY,E L James,None,0,Knopf Doubleday Publishing,8
2012-06,1,FIFTY SHADES OF GREY,E L James,None,0,Knopf Doubleday Publishing,12
2012-07,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Knopf Doubleday Publishing,16
2012-08,1,FIFTY SHADES OF GREY,E L James,None,0,Knopf Doubleday Publishing,21
2012-09,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Knopf Doubleday Publishing,25
2012-10,1,REFLECTED IN YOU,Sylvia Day,None,0,Penguin Group,1
2012-11,1,THE RACKETEER,John Grisham,0385536887,0,Knopf Doubleday Publishing,1
2012-12,1,THE LAST MAN,Vince Flynn,1439100535,0,Simon & Schuster,1
2013-01,1,SAFE HAVEN,Nicholas Sparks,0446574244,0,Grand Central Publishing,5
2013-02,1,SAFE HAVEN,Nicholas Sparks,0446574244,0,Grand Central Publishing,8
2013-03,1,"ALEX CROSS, RUN",James Patterson,0316097527,0,"Little, Brown & Company",1
2013-04,1,SIX YEARS,Harlan Coben,None,0,Penguin Group,1
2013-05,1,WHISKEY BEACH,Nora Roberts,None,0,Putnam,1
2013-06,1,INFERNO,Dan Brown,0385537867,0,Doubleday,1
2013-07,1,INFERNO,Dan Brown,0385537867,0,Doubleday,6
2013-08,1,THE CUCKOO'S CALLING,Robert Galbraith,0316206865,0,"Mulholland Books/Little, Brown",1
2013-09,1,THE CUCKOO'S CALLING,Robert Galbraith,0316206865,0,"Mulholland/Little, Brown",5
2013-10,1,THE LONGEST RIDE,Nicholas Sparks,1455520667,0,Grand Central,1
2013-11,1,SYCAMORE ROW,John Grisham,0385537921,0,Doubleday,1
2013-12,1,SYCAMORE ROW,John Grisham,0385537921,0,Doubleday,4
2014-01,1,SYCAMORE ROW,John Grisham,0385537131,0,Doubleday,9
2014-02,1,THE GOLDFINCH,Donna Tartt,,0,"Little, Brown",13
2014-03,1,PRIVATE L.A.,James Patterson and Mark Sullivan,0316211117,0,"Little, Brown",1
2014-04,1,MISSING YOU,Harlan Coben,0698148630,0,Dutton,1
2014-05,1,THE TARGET,David Baldacci,145552123X,0,Grand Central,1
2014-06,1,UNLUCKY 13,James Patterson and Maxine Paetro,0316211281,0,"Little, Brown",2
2014-07,1,INVISIBLE,James Patterson and David Ellis,,0,"Little, Brown",1
2014-08,1,OUTLANDER,Diana Gabaldon,0440335167,0,Dell,2
2014-09,1,OUTLANDER,Diana Gabaldon,0440335167,0,Dell,4
2014-10,1,GONE GIRL,Gillian Flynn,0307588386,0,Crown,96
2014-11,1,GONE GIRL,Gillian Flynn,0307588386,0,Crown,99
2014-12,1,CAPTIVATED BY YOU,Sylvia Day,None,0,Berkley,1
2015-01,1,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,,0,Scribner,16
2015-02,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,1
2015-03,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,5
2015-04,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,10
2015-05,1,THE LIAR,Nora Roberts,None,0,Putnam,1
2015-06,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,19
2015-07,1,GREY,E L James,1101946350,0,Vintage,1
2015-08,1,GO SET A WATCHMAN,Harper Lee,0062409859,0,Harper,1
2015-09,1,FRICTION,Sandra Brown,1455581178,0,Grand Central,1
2015-10,1,THE MARTIAN,Andy Weir,None,0,Crown,17
2015-11,1,ROGUE LAWYER,John Grisham,0385539444,0,Doubleday,1
2015-12,1,TRICKY TWENTY-TWO,Janet Evanovich,0345542983,0,Bantam,1
2016-01,1,ROGUE LAWYER,John Grisham,0385539436,0,Doubleday,9
2016-02,1,BLUE,Danielle Steel,None,0,Delacorte,1
2016-03,1,COMETH THE HOUR,Jeffrey Archer,1466867507,0,St. Martin's,1
2016-04,1,FOOL ME ONCE,Harlan Coben,0698404173,0,Dutton,1
2016-05,1,THE OBSESSION,Nora Roberts,0698197003,0,Berkley,1
2016-06,1,ME BEFORE YOU,Jojo Moyes,,0,Penguin,16
2016-07,1,ME BEFORE YOU,Jojo Moyes,0143130153,0,Penguin,21
2016-08,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,74
2016-09,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,78
2016-10,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,82
2016-11,1,ESCAPE CLAUSE,John Sandford,None,0,Putnam,1
2016-12,1,TURBO TWENTY-THREE,Janet Evanovich,0345543025,0,Bantam,1
2017-01,1,THE WHISTLER,John Grisham,0385541198,0,Doubleday,8
